Id,Label
LossToProfit,LossToProfit
Lost_Ataraxia,Lost_Ataraxia
MARIAM_Mendezz,MARIAM_Mendezz
MMargani5,MMargani5
ManBehindThe9un,ManBehindThe9un
MardaniAliSera,MardaniAliSera
Maruahalsiahaa2,Maruahalsiahaa2
MasQomaru,MasQomaru
Max_Min83,Max_Min83
Mdy_Asmara1701,Mdy_Asmara1701
Medic_boy,Medic_boy
Melihat_Indo,Melihat_Indo
Menkeu,Menkeu
Metro_TV,Metro_TV
Milantoon,Milantoon
MinmonPS7,MinmonPS7
MisdiPriansyah4,MisdiPriansyah4
MiskinTV_,MiskinTV_
Muhayya__,Muhayya__
Multipolar_04,Multipolar_04
Munir_Timur,Munir_Timur
MurtadhaOne1,MurtadhaOne1
Muslim_AntiPKI9,Muslim_AntiPKI9
NDASHmuuu,NDASHmuuu
Najazi731,Najazi731
Nandagustiann,Nandagustiann
NanuWisnu,NanuWisnu
NarasiVisual,NarasiVisual
Nayyy407,Nayyy407
Naz_lira,Naz_lira
Ndons_Back,Ndons_Back
Nebulavexion,Nebulavexion
NenengAnj4r,NenengAnj4r
NenkMonica,NenkMonica
NeoHideyoshi,NeoHideyoshi
Neonboxyellow,Neonboxyellow
NexIDN,NexIDN
NgilmuKantiLaku,NgilmuKantiLaku
NgkongRoses,NgkongRoses
Notonogoro67941,Notonogoro67941
NovaNauval58209,NovaNauval58209
Ogaman888,Ogaman888
OmJ_J3Nggott,OmJ_J3Nggott
Ombahku,Ombahku
OpiniMerah,OpiniMerah
OposisiCerdas,OposisiCerdas
Opposite6888,Opposite6888
OverseasIndomie,OverseasIndomie
P0113R,P0113R
P3gEl,P3gEl
PKSejahtera,PKSejahtera
PRFMnews,PRFMnews
PT_Transjakarta,PT_Transjakarta
PaceCrypto,PaceCrypto
Pak_JK,Pak_JK
PaltiHutabarat,PaltiHutabarat
PartBurungGalak,PartBurungGalak
PetugasRakyatRI,PetugasRakyatRI
PrasetyoArchive,PrasetyoArchive
PribumiArema,PribumiArema
PrinaWonkCerbon,PrinaWonkCerbon
ProdArchitech,ProdArchitech
Putra_Adi_YM,Putra_Adi_YM
RD_4WR1212,RD_4WR1212
REVAIZAL,REVAIZAL
RMTHandoko,RMTHandoko
RadioElshinta,RadioElshinta
RagaSukma_1,RagaSukma_1
Razieq97,Razieq97
RencanaTrading,RencanaTrading
RidhaIntifadha,RidhaIntifadha
Rie50238,Rie50238
Roari_ARB,Roari_ARB
RstmBcl,RstmBcl
SEdit2321840,SEdit2321840
SINDOnews,SINDOnews
SORA50124,SORA50124
SadgeFan,SadgeFan
Sammi86Pilang,Sammi86Pilang
Sang9Bro,Sang9Bro
SanubariSamudra,SanubariSamudra
SarjanaEksu,SarjanaEksu
SeekHustle,SeekHustle
SelebtwitMobil,SelebtwitMobil
SeninPahing26,SeninPahing26
Seputar_Energi_,Seputar_Energi_
SerieA_Lawas,SerieA_Lawas
ShamsiAli2,ShamsiAli2
SiPalingDepok,SiPalingDepok
Sitakim0x,Sitakim0x
SmwGwOto,SmwGwOto
SobatBandar,SobatBandar
Starhitsid,Starhitsid
StefanAntonio__,StefanAntonio__
SugengEsatech,SugengEsatech
SungaiNil3,SungaiNil3
SuryoYEY,SuryoYEY
TMIHARINI,TMIHARINI
TRTindonesia,TRTindonesia
TSetiotomo,TSetiotomo
TahukahKamuIND,TahukahKamuIND
Tan_Mar3M,Tan_Mar3M
Tangankanancuan,Tangankanancuan
Telkomsel,Telkomsel
TempeXBT,TempeXBT
Teramat_,Teramat_
Tguh_Em,Tguh_Em
Th3Tr4vel3r,Th3Tr4vel3r
ThatSun510,ThatSun510
The_CivilEng,The_CivilEng
The_RedsIndo,The_RedsIndo
TheanaXBT,TheanaXBT
Timanganten_L71,Timanganten_L71
TirtoID,TirtoID
Tony_Crosz,Tony_Crosz
ToyoAjjah,ToyoAjjah
TwipsX,TwipsX
TxtdariHI,TxtdariHI
UGMYogyakarta,UGMYogyakarta
UseKidd,UseKidd
Utha_san,Utha_san
V3g3L,V3g3L
VIVAcoid,VIVAcoid
WOLF_of_IHSG,WOLF_of_IHSG
WagimanDeep212_,WagimanDeep212_
WalterWisnu,WalterWisnu
WarBananaReborn,WarBananaReborn
WeKa_Ronin,WeKa_Ronin
WillaFernando,WillaFernando
WongAlasRoban,WongAlasRoban
XPwinzz31,XPwinzz31
YKusnayati,YKusnayati
YSkyzo8357,YSkyzo8357
YgMenang_KPU_MK,YgMenang_KPU_MK
YogyakartaCity,YogyakartaCity
YudhaShanny2,YudhaShanny2
Yulcandothis,Yulcandothis
Yuniar_Indra_P,Yuniar_Indra_P
ZimanPargad2,ZimanPargad2
_1ky17,_1ky17
_Haris_Srg,_Haris_Srg
__AnakKolong,__AnakKolong
_ahmdrafli_,_ahmdrafli_
_katakita08,_katakita08
_memoryusang,_memoryusang
_n0t4lfiaccount,_n0t4lfiaccount
_owh_gitu_ya_,_owh_gitu_ya_
_pandangsudut,_pandangsudut
abahnyaupi,abahnyaupi
abng_aull,abng_aull
abouttng,abouttng
abulmuzaffar10,abulmuzaffar10
adlinur,adlinur
adrianusagi,adrianusagi
adsetting23,adsetting23
aera_ry,aera_ry
aji_mahatma,aji_mahatma
akubknsiapa2x,akubknsiapa2x
akuratco,akuratco
al_bataw1,al_bataw1
alejandcarls,alejandcarls
alexjourneyz,alexjourneyz
alfariz220,alfariz220
alfariz861,alfariz861
alfeeii,alfeeii
ali_hasan110,ali_hasan110
aliennrss,aliennrss
alisyarief,alisyarief
allkacruuut,allkacruuut
alsjournall,alsjournall
amelamalia2088,amelamalia2088
americanoaddctd,americanoaddctd
anakodok2009,anakodok2009
andreaswij_,andreaswij_
angga_fzn,angga_fzn
anggunsafitriz,anggunsafitriz
anita_dewi19144,anita_dewi19144
antropolohis,antropolohis
aoi_ookami11,aoi_ookami11
apapunituokeoke,apapunituokeoke
apostiera,apostiera
ar3klokal,ar3klokal
ardanisbergas,ardanisbergas
ardianpancaa,ardianpancaa
ardisatriawan,ardisatriawan
are_inismyname,are_inismyname
arifin34533,arifin34533
ariiqdneutron,ariiqdneutron
arisw89,arisw89
arman041411,arman041411
arpas2000,arpas2000
arteranews,arteranews
asli_komunies,asli_komunies
auteza12,auteza12
awemany,awemany
awikuchuz,awikuchuz
ayamkechill,ayamkechill
ayyuputrii21,ayyuputrii21
azwar6102,azwar6102
b0nnysidharta,b0nnysidharta
bachrum_achmadi,bachrum_achmadi
bahlillahadalia,bahlillahadalia
bangherwin,bangherwin
basuki_btp,basuki_btp
bbluueeyy,bbluueeyy
bennyhawe,bennyhawe
bersuwara_,bersuwara_
bigdigjohnny,bigdigjohnny
biztechid,biztechid
blackkuromee,blackkuromee
blank0429,blank0429
bluekid1991,bluekid1991
bmartawardaya,bmartawardaya
boahamncook,boahamncook
boxxtoc,boxxtoc
bree_cov,bree_cov
budmul80,budmul80
bugsbunny2345,bugsbunny2345
bugsbunny_2345,bugsbunny_2345
bukan4non,bukan4non
bukanpamanmu,bukanpamanmu
buleariief,buleariief
bumn_idn,bumn_idn
buzuzima0,buzuzima0
cahyodewantoroo,cahyodewantoroo
catchmeupco,catchmeupco
ceh_fajar,ceh_fajar
celujrit,celujrit
chinamoure,chinamoure
cloudsmahe,cloudsmahe
cnbcindonesia,cnbcindonesia
cntarupiah,cntarupiah
coldbrew165,coldbrew165
convomf,convomf
creeping5ilence,creeping5ilence
crispyginger00,crispyginger00
cursedkidd,cursedkidd
dairydaymee,dairydaymee
david_saleko,david_saleko
davidcornelism,davidcornelism
demeter_mr,demeter_mr
desmondwira,desmondwira
detikcom,detikcom
detikfinance,detikfinance
detikoto,detikoto
dewdewdwi,dewdewdwi
dimarsasongko98,dimarsasongko98
dimasandi07,dimasandi07
diovergen,diovergen
diplomatsehat,diplomatsehat
direktoridosen,direktoridosen
dixatakan,dixatakan
dna_d_destroyer,dna_d_destroyer
dsuperboy,dsuperboy
duketology_x,duketology_x
dwioktariyadi,dwioktariyadi
dydy010101,dydy010101
e100ss,e100ss
ebednoorjaman,ebednoorjaman
eddesign_,eddesign_
edyjayakarya,edyjayakarya
eggggsie,eggggsie
ekowboy2,ekowboy2
elyyyy30,elyyyy30
emyr_za1,emyr_za1
epiiee118172,epiiee118172
erickthohir,erickthohir
erocryptoo,erocryptoo
esdeathxz,esdeathxz
eviy86,eviy86
ezash,ezash
fadlizon,fadlizon
failedtostate,failedtostate
fajaronline,fajaronline
fat_bry,fat_bry
fe_iman,fe_iman
ferizandra,ferizandra
ferry_hdyt13,ferry_hdyt13
ferrykoto,ferrykoto
firmanovoselic,firmanovoselic
florieliciouss,florieliciouss
flowerbean_I,flowerbean_I
frdzlhkmm,frdzlhkmm
fsaidhamzah,fsaidhamzah
fyiajaa,fyiajaa
gangsterrandom,gangsterrandom
garudatvnews,garudatvnews
geloraco,geloraco
gen_Z_speak,gen_Z_speak
gibran_tweet,gibran_tweet
gilang_ahm31272,gilang_ahm31272
gimbot75,gimbot75
gnrlfans,gnrlfans
goldgloryandyou,goldgloryandyou
gorioyoo,gorioyoo
great_fleet,great_fleet
gueracr_,gueracr_
habiburokhman,habiburokhman
habolabo,habolabo
hafsyahaqilla,hafsyahaqilla
halu11ribuT,halu11ribuT
haluanharian,haluanharian
han_dycam,han_dycam
harsono__,harsono__
hasyimmah,hasyimmah
hazmi_ash,hazmi_ash
heevanaut,heevanaut
helmfulfes,helmfulfes
hendrasumar,hendrasumar
heresmyjunmy,heresmyjunmy
hguyandi,hguyandi
hipohan,hipohan
hnldbus,hnldbus
hollowlaundrY32,hollowlaundrY32
horcruxsh,horcruxsh
hrdbacot,hrdbacot
hujanyangturun_,hujanyangturun_
iamretardio,iamretardio
icharis,icharis
ichazura,ichazura
idextratime,idextratime
idx_channel,idx_channel
ignamukti,ignamukti
ilhamwsp,ilhamwsp
immanuel_padang,immanuel_padang
imsadgurlz,imsadgurlz
indepenSumatera,indepenSumatera
indowfofficial,indowfofficial
indrawxyz,indrawxyz
infomalang,infomalang
infomjkt,infomjkt
informasicom,informasicom
iniabangbaik,iniabangbaik
inilahdotcom,inilahdotcom
inisayasendiril,inisayasendiril
innovacommunity,innovacommunity
inong911,inong911
insidefolkative,insidefolkative
insidelombok_,insidelombok_
inspired_007,inspired_007
investorgabut,investorgabut
ipnkst,ipnkst
ireallylvyou,ireallylvyou
is_pelssy,is_pelssy
ismi_yanto,ismi_yanto
itsdizcorvus,itsdizcorvus
iwanpiliang7,iwanpiliang7
iyntwitt,iyntwitt
jakarta48fansid,jakarta48fansid
jalanparis,jalanparis
jatmikk,jatmikk
jawapos,jawapos
jennieJNK__,jennieJNK__
jokowi,jokowi
josetya,josetya
junk_kiss,junk_kiss
kabarnamdua,kabarnamdua
kakadjf,kakadjf
kalistohenituse,kalistohenituse
kangdede78,kangdede78
kangmirdja,kangmirdja
karirfess,karirfess
katakangparkir,katakangparkir
kebajikanatas,kebajikanatas
keluarga_sultan,keluarga_sultan
kepinginpintar,kepinginpintar
kesadaran_ku,kesadaran_ku
keuangannews_id,keuangannews_id
kiwalipitu,kiwalipitu
kkabjagiw,kkabjagiw
kkmanti,kkmanti
koganenohikari,koganenohikari
kompascom,kompascom
kompasiana,kompasiana
kopnesiaID,kopnesiaID
krishnayana95,krishnayana95
kuahsotoenakkkk,kuahsotoenakkkk
kumparan,kumparan
kusput25,kusput25
langitygbiru7,langitygbiru7
lapen_melon,lapen_melon
letstrydude,letstrydude
lewatt_doang,lewatt_doang
liaasister,liaasister
liputan6dotcom,liputan6dotcom
literasiglobal,literasiglobal
lovamarciano,lovamarciano
lrtjabodebek,lrtjabodebek
lrtjkt,lrtjkt
luaynnaf,luaynnaf
luhut_binsar,luhut_binsar
macirecord,macirecord
majalahsunday,majalahsunday
majikanpenjabat,majikanpenjabat
marSyaheedAS,marSyaheedAS
marioledesman,marioledesman
markjekardah,markjekardah
marvelle_danny,marvelle_danny
mas_veel,mas_veel
masbudisam,masbudisam
masduke_x,masduke_x
mazriva,mazriva
mbek_X,mbek_X
mediaindonesia,mediaindonesia
merapi_uncover,merapi_uncover
merdekadotcom,merdekadotcom
merrrcury,merrrcury
mesatu_,mesatu_
metro24jam_id,metro24jam_id
mhankumiz,mhankumiz
mikewazowwska,mikewazowwska
minionsthe6,minionsthe6
miqbalhm1,miqbalhm1
mlakbr,mlakbr
mlinjhosanasini,mlinjhosanasini
mourin362,mourin362
moyalyubov7,moyalyubov7
mridhoalhazmi,mridhoalhazmi
mrtjakarta,mrtjakarta
msaid_didu,msaid_didu
mubin_nusantara,mubin_nusantara
muchlis_ar,muchlis_ar
myron_pi,myron_pi
myyoongles96,myyoongles96
nadiaputri2996,nadiaputri2996
nalar_logis,nalar_logis
narkosun,narkosun
narwisan81,narwisan81
ndorokakung,ndorokakung
ndrer,ndrer
neVerAl0nely___,neVerAl0nely___
nellyaul,nellyaul
netizenviral_,netizenviral_
noahmhndr,noahmhndr
nocturnalcutie,nocturnalcutie
nocturnalicious,nocturnalicious
noegroho_basuki,noegroho_basuki
nonton_radio,nonton_radio
notfound7_,notfound7_
nova_dharma_pm,nova_dharma_pm
novembeer8,novembeer8
nozelism,nozelism
oalahrizal,oalahrizal
odjie85,odjie85
officialinews_,officialinews_
okezonenews,okezonenews
olland72,olland72
oreo_biskuitz,oreo_biskuitz
oreocheese99,oreocheese99
pak_erte92,pak_erte92
pakmul63,pakmul63
papa_loren,papa_loren
pararealmen,pararealmen
patinewscom,patinewscom
paubilabil,paubilabil
penumpangbus,penumpangbus
pertamina,pertamina
perupadata,perupadata
petanirumah,petanirumah
pikiran_rakyat,pikiran_rakyat
pilubos,pilubos
pinkbourbon8898,pinkbourbon8898
poccariee,poccariee
polisiolahraga,polisiolahraga
potrzayed,potrzayed
prabowo,prabowo
prapanca78,prapanca78
prastow,prastow
projectm_org,projectm_org
ptm_patraniaga,ptm_patraniaga
puspitagafur,puspitagafur
putrapostdaily,putrapostdaily
puturizki,puturizki
raflialfzn,raflialfzn
rahkainiskala,rahkainiskala
raihanaditya86,raihanaditya86
rakumza,rakumza
randhilicious,randhilicious
rasjawa,rasjawa
raykairi,raykairi
renswct,renswct
resahnegeri,resahnegeri
restuufk,restuufk
reversiblefigs,reversiblefigs
reynadefiip,reynadefiip
rgoestama,rgoestama
rinducahaya70,rinducahaya70
ririprj,ririprj
rmol_id,rmol_id
ronavioleta,ronavioleta
rouppme,rouppme
rsngprad,rsngprad
rubicnews__,rubicnews__
ruliemaulana,ruliemaulana
ruudii_h,ruudii_h
ry4nn_,ry4nn_
s1mple_virus,s1mple_virus
s4kadewek,s4kadewek
saidiman,saidiman
saidmarwan11,saidmarwan11
sakatonikabcey,sakatonikabcey
saopenabaca,saopenabaca
satia_nagara,satia_nagara
satriohendri,satriohendri
satsukyhiruta,satsukyhiruta
satyaXBT,satyaXBT
scolpioX,scolpioX
sekintangd99,sekintangd99
semboyan35com,semboyan35com
senjakalama,senjakalama
sentasticker,sentasticker
serambinews,serambinews
seringham62617,seringham62617
sersanqomar,sersanqomar
seruanhl,seruanhl
setkabgoid,setkabgoid
setowicaksono,setowicaksono
sharpandshark,sharpandshark
shintaeffendi,shintaeffendi
shinyosol,shinyosol
sigitwid,sigitwid
skleteps,skleteps
slametksndi,slametksndi
solowae1,solowae1
sosmednonformal,sosmednonformal
stobsjr,stobsjr
streetlawyers85,streetlawyers85
strike_bravo_b,strike_bravo_b
suaminyafanny,suaminyafanny
sukaaabougenvil,sukaaabougenvil
sukasantap,sukasantap
sumur_resapan,sumur_resapan
sunflow3rmu,sunflow3rmu
sunggul,sunggul
syfaeth,syfaeth
t_huberton,t_huberton
taeko0kie_,taeko0kie_
tagarabak,tagarabak
tanyakanrl,tanyakanrl
tanyarlfes,tanyarlfes
tatangberkutang,tatangberkutang
tauhidderry,tauhidderry
tazzella99,tazzella99
tekarok007,tekarok007
tempodotco,tempodotco
terviralin,terviralin
thanksfortodayy,thanksfortodayy
thechadsenate,thechadsenate
thenafam,thenafam
thesaviour,thesaviour
timleocity,timleocity
tirta_cipeng,tirta_cipeng
tme2tcjsrnr,tme2tcjsrnr
tomatskillo,tomatskillo
tribunbalikanal,tribunbalikanal
tribunmedan,tribunmedan
tribunnews,tribunnews
tribunpontianak,tribunpontianak
trihartono__,trihartono__
trimujokobayu,trimujokobayu
trisetyarso,trisetyarso
triwul82,triwul82
trunkszoldyck,trunkszoldyck
tvOneNews,tvOneNews
twhandayani78,twhandayani78
txtangkringan,txtangkringan
txtdaritaxpayer,txtdaritaxpayer
txtdrbekasi,txtdrbekasi
txtdrhrdoet,txtdrhrdoet
txtdrimedia,txtdrimedia
txtdrjkt,txtdrjkt
txtdrpemerintah,txtdrpemerintah
txtfromIR,txtfromIR
txtfromkeuangan,txtfromkeuangan
txtfrwho,txtfrwho
txtpersahaman,txtpersahaman
ucshaken,ucshaken
ukhtielya,ukhtielya
umbihombes,umbihombes
uniq_le,uniq_le
unmagnetism,unmagnetism
ur__imagination,ur__imagination
ursunnymorn,ursunnymorn
urya_suryana,urya_suryana
usercyclop,usercyclop
vangkitongki,vangkitongki
varreldept,varreldept
vespamatic96,vespamatic96
vortexglimmer,vortexglimmer
warungsastra,warungsastra
welly_albinanto,welly_albinanto
whoismeid,whoismeid
whydntr,whydntr
wietj4k,wietj4k
wrahardian2,wrahardian2
xdent_s,xdent_s
xquitavee,xquitavee
yakobXBT,yakobXBT
yangbegituan,yangbegituan
yaniarsim,yaniarsim
yanzero_,yanzero_
yepzXBT,yepzXBT
yeributkuy,yeributkuy
yonathandinata,yonathandinata
yudiwibowo976,yudiwibowo976
yusufgunawan,yusufgunawan
zakiberkata,zakiberkata
zhil_arf,zhil_arf
