username,tweet_raw,cluster,topik_dominan
timleocity,"NIH LIHAAATTTTT. Gue tampol lu ya yg bilang “BBM yg naik kan non subsidi, lu pada belain orang kaya ya aneh” ELU YANG ANEH tolol gabisa mikir efek domino",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Chicitcuiit,@tanyakanrl abis bbm non subsidi naik apakah bntr lagi ada berita tiba2 tarif listrik naik? kan pemerintahan kita lg kejar setoran pajak https://t.co/gUZGrVVxBD,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Hidupsebagai62,"PIUTANG PLN KE PEMERINTAH NAIK 156%. 
ARTINYA PEMERINTAH NUNGGAK BAYAR KE PLN SEHINGGA PLN TIDAK PUNYA DUIT.
TIDAK PUNYA DUIT SEHINGGA TIDAK BISA BEKI BATUBARA

TIDAK BISA BELI BATUBARA, SUPLAI LISTRIK BERKURANG.
SIAP2 MENYALA BERGILIR

BUKAN PEMADAMAN BERGILIR

Dari foto laporan https://t.co/3Q3IeAnhSi",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
putrapostdaily,"Harga BBM Pertamina hari ini menunjukkan adanya kenaikan signifikan pada produk non-subsidi, terutama Pertamax dan Pertamax Green 95 yang naik mulai 10 Juni 2026. 

https://t.co/YobIi6qCQo",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
fadlizon,"Di tengah guncangan harga energi global yang memaksa hampir semua negara mencabut subsidi BBM  Indonesia justru memilih bertahan. Pertalite masih Rp10.000 per liter. 

Solar bersubsidi Rp6.800. Bahkan Pertamax non-subsidi yang naik ke Rp16.250 per Juni 2026 pun masih termasuk https://t.co/Zsv22GZQ5M",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Sitakim0x,"#MahasiswaDitunggangi
Demo Untuk Siapa?

Bela orang kaya, perubahan orientasi mahasiswa. Yang naik itu Pertamax &amp; BBM non-subsidi. Yang dipakai rakyat kecil, Pertalite, gak naik. https://t.co/5KXYB4WoFp",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
epiiee118172,"Demo untuk siapa? Pertalite dan Solar tetap terjangkau, yang naik hanya BBM non-subsidi. Jelas bukan untuk rakyat kecil.
#MahasiswaDitunggangi https://t.co/zyvRv8cJ3Y",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
kangdede78,"@eddesign_ Wah, ini justru memperkuat argumen bahwa pemerintah menjalankan kebijakan BBM non-subsidi dgn tepat sesuai mekanisme pasar yg transparan. Bukan hipokrit, tapi dinamika ekonomi yg rasional &amp; sudah diantisipasi.

Fakta yang jelas:

•)) BBM non-subsidi memang ikut harga keekonomian",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
rinducahaya70,"harusnya mahasiswa lebih jeli liat isu pertamax naik itu bbm non subsidi bukan isu utama rakyat kecil lalu demo untuk siapa coba
#MahasiswaDitunggangi
Demo Untuk Siapa https://t.co/8hOEK1pYGl",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
mourin362,Pertamax naik kok demo? Itu kan BBM non-subsidi orang kaya. Rakyat kecil aman. Demo Untuk Siapa sebenarnya gerakan ini? #MahasiswaDitunggangi https://t.co/fJDndR05W3,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
eddesign_,"SESAT LOGIKA BBM NON-SUBSIDI &amp; KELAS MENENGAH

Pandangan ini keliru membedakan mekanisme pasar BBM non-subsidi &amp; kebijakan subsidi negara, serta mengabaikan faktor makroekonomi.

Harga Pertamax ditetapkan mengikuti batas harga keekonomian yg berbasis ICP &amp; rata² harga publikasi",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
txtdrimedia,"jubir kementrian ESDM: 
""ketika harga minyak dunia naik, mau tidak mau, harga BBM non-subsidi naik""

""begitu sebaliknya. kalau harga minyak dunia turun, dipastikan harga BBM non-subsidi jg turun"" 

 ""berapa pun harga minyak dunia, BBM non-subsidi harus mengikuti""

realitanya? https://t.co/Uy7cvT9KZD",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
kangdede78,"Baru kemarin kalian ngamuk-ngamuk, hujat pemerintah, bilang ‘harga minyak dunia naik jangan jadi alasan naikin BBM non-subsidi!’
‘Jangan bebanin rakyat!’, ‘Kelas menengah udah susah!’, ‘Otak pemerintah buntu!’

Sekarang harga minyak dunia turun ke bawah $80, langsung rame-rame",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
yudiwibowo976,@YgMenang_KPU_MK BBM non subsidi emang naik tp Pertalite yg dipake 80% masyarakat tetap di harga Rp 10.000 karena pemerintah lindungi rakyat kecil. Jangan keblinger sama narasi miring.,3,"Diskusi mengenai rp, subsidi, non, harga, utang"
RencanaTrading,"Konsep dari BBM Non Subsidi itu sebenarnya sederhana: Harga bergerak MENGIKUTI harga minyak internasional.  

Masalahnya: Banyak pihak yang kemudian cawe-cawe ini itu ini itu, sehingga harga yang seharusnya naik/turun kemudian DITAHAN.  Cawe-cawe yang membuat harga BBM Non https://t.co/rD6Ta8cpJG",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
yudiwibowo976,"@OmJ_J3Nggott BBM non subsidi emang naik tp Pertalite yg dipake 80% masyarakat tetap di harga Rp 10.000 karena pemerintah lindungi rakyat kecil. Jangan keblinger sama narasi miring.

Tuntutan stop PHK? Coba liat PMI manufaktur udh ekspansi lagi dan kredit perbankan naik 13% artinya sektor riil",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
puspitagafur,"Muncul konten viral nih 🤣🤣🤣 Seorang anak SMP secara logis mematahkan dasar argumen demo mahasiswa. Ia menyoroti cacat logika mahasiswa membela Pertamax (BBM non-subsidi/orang kaya) padahal BBM subsidi tidak naik harganya, dan menyarankan mereka menuntut RUU Perampasan Aset https://t.co/ffpuwwnqUh",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
mesatu_,"@_pandangsudut Feeling gue baru turun Juli 2026 mint. Soalnya, harga BBM non-subsidi ditahan dari April 2026 pas minyak dunia tinggi.

Baru Juni 2026 naik drastis. Jadi, nunggu balik modal atau bahkan cuan dulu baru turun lagi ngikut harga pasar hahaha.",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Jelli_cent,"Kata para penjilatnya
Yg naik BBM non subsidi 
Klo ada kenaikan kebutuhan, itu permainan tengkulak.

Hhmmm...
Brarti pemerintah selemah itu smp kalah sm permainan tengkulak?!
Intinya sama Kan? Pemerintah lemah dlm mengendalikan keadaan pasar saat ini. 

Ape loe!
Jilat terus saja https://t.co/k3WBm75MT4",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
boahamncook,"HARGA MINYAK DUNIA RUNTUH, TAPI KOK BBM MASIH MAHAL BANG?

Harga minyak dunia anjlok tajam hari ini (15 Juni 2026), Brent turun ke kisaran US$83–84 per barel.
Tapi seminggu lalu (10 Juni), Pertamax justru naik hampir Rp4.000 dari Rp12.300 jadi Rp16.250 per liter.

Harga minyak https://t.co/tBc9ohWvtT",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
macirecord,"lirik lagu Slank mewakili apa yang sedang dilakukan Presiden Prabowo yang lagi mencanangkan negara mandiri tanpa hutang dari IMF,pak Prabowo memilih jalan untuk tidak ditekan dijajah halus bangsa lain.pilih mana bangsa ini gak bisa mandiri atau BBM non subsidi naik sementara? https://t.co/cZY3mnAuwA",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
UseKidd,"@hollowlaundrY32 @nonton_radio karena saking Pinternya 
IQ luar angkasa
BBM non-subsidi demonya ke Pemerintah 
bukan ke Trump yg bikin Crude naik",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
nadiaputri2996,"@tempodotco saking matang ngehitung harganya sampai lupa menejemen resiko dampak dari kenaikan bbm non subsidi ya?😌 ini bukan ttg harga naik. tapi tentang masyarakat ekonomi kelas menengah yg pindah dari non subsidi ke subsidi. yg mana demand meningkat berefek antrian, kelangkaan dll",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
harsono__,Kenapa ribut sih...yang naik BBM non subsidi...makanya kerja jangan ngoceh melulu...biar rasain dampak naiknya pertamax....jalanan sepi...hidup MBG (Mas Bahlil Ganteng) 😝👍,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
AvelinoGuido28,"Btw pola timing naikin harga BBM yang sama buruknya juga pernah kejadian di masa lalu loh, dan jadi salah satu pemantik api matinya orde baru.

Balik dulu ke Mei 1998.
Saat itu Indonesia lagi sekarat. Rupiah anjlok berkali-kali lipat dalam hitungan bulan, PHK massal dimana-mana,",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
YudhaShanny2,"Sudah Sukses Menjilat, dan duduk di Pemerintahan 🤣😛
.
Buruh ogah demo meski harga BBM non-subsidi naik?
Said Iqbal, Presiden KSPI, menegaskan tidak ada rencana aksi massa. https://t.co/AZIDrAeEHE",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
Graminale,"@adsetting23 @_Haris_Srg @prabowo Lah harga minyak dunia yang naik.
Ini sesuai jg dgn data kalau stok BBM Indonesia itu paling kuat 3 bulan.
Kalau trend minyak dunia turun, ya non subsidi jg bakal turun. Minyak yg ada dipakai hari ini bisa jadi adalah minyak yg dibeli 3 bulan lalu. Apa maunya disubsidi semua ?",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
letstrydude,"buat ibu-ibu, bapak-bapak ini namanya antri bensin ya. barangkali gapernah ngerasain antri bbm subsidi karna di supirin dan pake mobil dinas yang mewah, jadi gini nih dampak nya dari bbm non subsidi naik dan bbm yang subsidi jadi langka. kira-kira begitu yaa realita di lapangan https://t.co/imFdSnDzqz",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
lapen_melon,"@dimarsasongko98 Ada kronologi:
- JK bilang : bbm subsidi dinaikkan
- ada usulan bikin plta
- ada yg bilang indonesia over suply listrik
- sumatera black out
- bbm non subsidi naik
- jawa pemadaman beegilir
- JK dpt proyek plta",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
SORA50124,"@dna_d_destroyer @txtfromIR jujur aneh aja si kak, soalnya sekarang apa² serba naik, mungkin dia anak orang kaya yang ditransfer ratusan juta tiap bulan, dia merasa bbm itu cuma di kendaraan aja, padahal keperluan industri pakai bbm non subsidi. sekarang gas yg pink udah 130k, belum kenaikan harga buah, dll",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
projectm_org,"Ada juga harga BBM non-subsidi yang mendadak naik cukup tinggi pada tengah malam, saat kita sedang tidur pulas. https://t.co/eOEnerqpqb",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
_Haris_Srg,"Sudah gak organik lagi ini uda. Mengapa?
1. Demo tidak melakukan di DPR, rumah rakyat yg hrs direbut kembali krn sdh penuh kotoran. Bukankah ini biang masalah selama ini? 
2. Mengapa tok soal @prabowo, yg baru memimpin 1,5thn. Mengapa tidak ada tuntutan soal dugaan Ijazah Palsu,",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
jakarta48fansid,"@tempodotco Bbm non subsidi naik itu emg gak bakal bisa dihindari,yg bisa dihindari itu jumlah impact negatif nya ke masyarakat,yg musti nya kena satu kali pukulan dari bbm naik dong ini kena berkali2 pukulan dr rupiah lemah,yg mengakibatkan harga barang gaj stabil,beban ush naik,dan phk msl",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
renswct,"“mahasiswa tp gabisa bedain BBM subsidi &amp; non-subsidi” AH ELU, kaya yang ngerti aje efek domino nya BBM non-subsidi naik??????",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
tekarok007,"Demo kali ini males ikutan, capek terlalu receh tapi aku kasih saran-saran aja counternya dari tuntutan mereka sendiri:

1. Pemborosan APBN:
Pemerintah boros APBN untuk orang miskin:
‣MBG.
‣Sekolah Rakyat
‣Menahan pertalite dan LPG agar tidak naik.
dll. Intinya yang dicabut https://t.co/FMBlhPyAda",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
RadioElshinta,"Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia menanggapi kenaikan harga Pertamax yang naik dari Rp 12.300 menjadi Rp 16.250 per liter. Menurut Bahlil, perubahan harga BBM non-subsidi tersebut dilakukan mengikuti perkembangan harga pasar yang berlaku.

""Sementara https://t.co/ujJ49dN1Pf",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Ari_Ak2,"Pemerintah Pastikan Harga Pertalite Dan LPG subsidi Tidak Naik

Di tengah naiknya harga sejumlah BBM non-subsidi, pemerintah menegaskan harga Pertalite dan LPG subsidi tetap stabil.

Kepastian tersebut disampaikan Menteri ESDM Bahlil Lahadalia usai memenuhi panggilan Presiden https://t.co/apEtEGUorB",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
thenafam,ish kok oon? siapa yang bilang pertalite NAIK? ini demo kan karna naiknya harga bbm NON SUBSIDI— PERTAMAX dan PERTAMAX GREEN 95 😭,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
insidelombok_,"Yang sempat banyak orang khawatirin karna harga BBM non subsidi naik

udah paling bener berkuda https://t.co/5A7Qsp1l35",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
pikiran_rakyat,"Buruh Tak Akan Demo soal BBM Non-Subsidi Naik, Said Iqbal: Kebijakan Pemerintah Masih Berpihak Rakyat Bawah
.....

Presiden Konfederasi Serikat Pekerja Indonesia (KSPI) sekaligus Penasihat Khusus Presiden Bidang Ketenagakerjaan dan Kesejahteraan Buruh, Said Iqbal, menegaskan https://t.co/B28DXPOBh2",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
whoismeid,"Pertamax Rp16.250/liter.

Yang naik cuma BBM non-subsidi, katanya dampak inflasi terbatas.

Tapi pertanyaannya:
kalau biaya transport, logistik, dan psikologi pasar ikut naik…
yang paling dulu terasa siapa?

Orang kaya, pelaku usaha, atau rakyat kecil juga kena pantulannya? https://t.co/P80Xz9yvPs",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
detikoto,"Harga BBM non-subsidi resmi naik, dan kenaikannya tidak main-main. Beberapa jenis bensin mengalami kenaikan hingga hampir Rp 4.000 per liter! ⛽️📈

Bagaimana perbandingan harga BBM di Indonesia dengan negara-negara tetangga? 😉

#detikOto #HargaBBM https://t.co/C4Y4M4Lt9w",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
tribunnews,"Pengamat kebijakan publik Dr. Firre An Suprapto mengusulkan pemerintah memberikan BLT sementara akibat kenaikan harga BBM non subsidi.

Pertamax naik menjadi Rp16.250 per liter dan Pertamax Green 95 menjadi Rp17.000 per liter.

Firre menilai BLT dapat diberikan selama 3–4 bulan https://t.co/DSa74008pI",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
RidhaIntifadha,"Diskusi dengan kawan,

Dia bilang, kemarin harga Pertamax itu naik karena pemerintah sebenarnya sudah tidak kuat mensubsidinya

Saya pun heran. Bukannya Pertamax itu BBM non-subsidi ya? Makanya mengikuti harga pasar?

Dia sampaikan. Pertamax itu subsidi juga. Kalau ikut harga https://t.co/af5VKpuV17",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
txtdrhrdoet,"@ardisatriawan Soal pertamax ini problemnya di regulasi. BBM non subsidi. Harga minyak dunia naik, maka harga pertamax pun akan naik.

Maka, isu yg harus diangkat adalah soal regulasinya ini. Gugat ke MK, agar pertamax juga disubsidi negara. Minimal yg RON 92.

Banyak ojol yg pake RON 92 ini.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
demeter_mr,"Izin qrt versi beliau ini hehe

&gt; be Prabowo Subianto
&gt; Presiden ke-8 Indonesia
&gt; Harga BBM subsidi flat, BBM non-subsidi naik mengikuti harga pasar
&gt; Anggaran pemulihan bencana banjir di Aceh, Sumut, dan Sumbar Rp100,166 triliun; Pembangunan 15.000 rumah hunian permanen; https://t.co/A3zqFOaMy8",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
BANGSAygSUJUD,"Semua paham harga BBM non subsidi pertamax ditentukan pasar, berbeda dg BBM bersubsidi, Pertalite

Saat harga Pertamax naik, didemo maksa diturunkan, ini tidak nyambung

Solusi cerdas beralih ke pertalite

Waspadai hasutan &amp; provokasi memancing chaos atas alasan tidak masuk akal",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
are_inismyname,"Rame ribut soal kenaikan harga pertamax lanjut demo ricuh yg dilakukan mahasiswa HMI di cikini
(Ngomong Cikini jd dejavu sama peristiwa di Cikini juga th 57 dimana pemuda2 yg dimotori DI/TII melempar granat kearah Soekarno dan anaknya Guntur dan megawati, target selamat tapi https://t.co/X5BJMNM2HX",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
DipoSatriaR,"Harga Pertamax resmi meroket naik 30+%. Katanya sih aman-aman aja, tapi yang aman itu adalah APBN Negara. Bukan Dompet Masyarakat. 

Posisi paling serba salah memang jadi kelas menengah di Indonesia: mau dapet bansos dianggap terlalu kaya, tapi disuruh beli BBM Non-Subsidi malah",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Boedak_Korporat,"Banyak orang sok sok an demo harga BBM non subsidi yang naik, tapi lupa pertalite harganya tetap 10k. beberapa SPBU juga yang beli Pertamax. 

ada yang bawa ke agama : 
(-) BBM non subsidi naek ga bakal mengurangi rejeki , rejeki ada yang ngatur. 

solusi biar hemat ? Transum 👍🏻 https://t.co/iY77wfUazk",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
direktoridosen,"rangkuman uneg2 dokter tirta.

Ringkasan Utas @tirta_cipeng (10 Juni 2026)

Utas ini membahas dampak nyata kenaikan harga Pertamax dari Rp12.300 jadi Rp16.250 per liter terhadap masyarakat, khususnya kelas menengah.

Poin utama dari utas:

- Banyak yang komentar ""Kan yang naik https://t.co/xwaCYh1WcS",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
abng_aull,"@dydy010101 @syfaeth Buzzer dongo, cara berfikir salah ngotot bener, eh kocak bbm yg  naik itu non subsidi? Kalo ikuti cara lu malah besoknya subsidi naik dan lu nangis krn naik jg",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Awan2379,"@Opposite6888 Logikanya jika yang di naikan non subsidi, pastilah dgn melemahnya ekonomi, para pengguna jenis itu akan banyak yang lari ke BBM subsidi, dan hal yg paling ditakuti adl effectnya...., bisa jadi pertalite nantinya akan langka...., ikutan naik bahkan menghilang. https://t.co/OK5SgMjVhP",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
99propaganda,"Pertamina dilaporkan menahan harga BBM non-subsidi tersebut selama tiga bulan (dari Maret hingga Juni 2026).

Jadi pengguna pertalite kenapa harus resah saat BBM NON SUBSIDI naik harganya ?? https://t.co/vR0K22d4mA",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
FaiNomady,"BBM NON SUBSIDI 🇮🇩 NAIK !!
Ya, naik ngga ngotak sampai menyentuh harga yang sama dengan harga rata-rata BBM di Amerika. Tapi para buzzerp dengan lugunya tetap membela bahwa harga di Indonesia masih lebih murah. 

Tolong ya para buzzerp dan pendukung fanatik pemerintah (pakai otak https://t.co/QWw4keU6Fh",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
ekowboy2,"Yang protes saat harga BBM non-subsidi naik, memangnya kalian mau orang kaya yang naik mobil mewah beli minyaknya digendong APBN?

Dari dulu Pertamax memang mengikuti harga pasar. Kalau pernah disubsidi itu hanya sementara untuk meringankan beban kelas menengah bukan untuk https://t.co/lefvEyCGAT",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Timanganten_L71,"Pertamina resmi menaikkan harga BBM non-subsidi mulai 10 Juni 2026. Di Jakarta, Pertamax (RON 92) naik menjadi Rp16.250/liter dari Rp12.300, dan Pertamax Green 95 menjadi Rp17.000/liter dari Rp12.900. Pertamax Turbo tetap Rp20.750/liter, sementara Dexlite Rp23.000 dan Pertamina https://t.co/ZyRShltCHX",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
WongAlasRoban,"Padahal yg naik adalah BBM non subsidi.
Bagaimana kalau yg naik adalah BBM subsidi (pertalite), apa mungkin akan terjadi demo yg lebih besar?",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
JuanJulianto2,"Jd viral nga ya 🤣 …
BBM non-subsidi naik 12.300 jd 16.250 ya, kita liat price harga global, disaat harga $88 turun dr $130 BBMnya naik pdhl di chart harga globalnya turun. 

Ok alesanny mungkin saat $120 msh 12.600, jd skrng saat $ 88 tekornya pertamina di cover WNI yg https://t.co/CEnSh9fppj",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
alfariz220,"""Bang, kan tinggal pakai BBM subsidi (Pertalite) aja, kenapa harga jasa home service AC ikut dinaikin?""

Gw harus siap menerima pertanyaan itu beberapa hari kedepan.

Sebagai teknisi AC yang tiap hari keliling, ini realita lapangan yang mau gak mau bikin tarif jasa harus",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
